Name,Time,Category,Address,Latitude,Longitude,Description,Google_Maps_Link
【國王湖大停車場】Großparkplatz Königssee,2026-10-10 08:00 前停妥,🅿️ 景點停車場,"Seestraße 3, 83471 Schönau am Königssee, Germany",47.5925,12.9861,【10/10 08:00 前停妥】國王湖 (Königssee) 官方大停車場。離遊船碼頭步行約 5-7 分鐘（經 Seestraße 商店街）。單日票 €9.00（支援自動繳費機刷卡/投幣/Parkster）。停妥後步行至碼頭搭乘早班電動船直奔 Salet (Obersee 內湖)。,"https://www.google.com/maps/place/Gro%C3%9Fparkplatz+K%C3%B6nigssee/@47.5925,12.9861,17z"
【國王湖遊船碼頭】Königssee Seelände (去程搭船起點),2026-10-10 08:30 - 09:00,⭐ 觀光景點,"Seestraße 55, 83471 Schönau am Königssee, Germany",47.5878,12.9882,國王湖電動船主碼頭與售票處。在此購買或持線上票登上開往最深處 Salet 的早班船（09:00 首班），去程坐右側靠窗看回音壁小號表演與紅蔥頭教堂水上全景。,"https://www.google.com/maps/place/K%C3%B6nigssee+Seel%C3%A4nde/@47.5878,12.9882,17z"
【國王湖內湖碼頭】Anlegestelle Salet (終點站),2026-10-10 09:55 抵達,⭐ 觀光景點,"Salet, 83471 Schönau am Königssee, Germany",47.5251,12.9735,國王湖最深處碼頭，僅在 5 月中至 10 月中開放。下船後直接進入原始保護區步道，步行 15 分鐘至上湖 (Obersee)。注意回程末班船時間（約 16:30-17:10，碼頭立牌有標示）。,"https://www.google.com/maps/place/Anlegestelle+Salet/@47.5251,12.9735,17z"
【國王湖仙境亮點】上湖木造船屋與天空之鏡 (Bootshaus am Obersee),2026-10-10 10:15 - 10:45,⭐ 觀光景點,"Obersee, 83471 Schönau am Königssee, Germany",47.5193,12.9806,國王湖最具代表性的神仙倒影！百年深色木造船屋佇立在如明鏡般清澈的綠寶石湖畔，清晨平靜無風，對岸千仞山壁倒映水中，宛如懸浮空中。,"https://www.google.com/maps/place/Bootshaus+am+Obersee/@47.5193,12.9806,17z"
【高山世外牧場】Fischunkelalm (鮮牛奶木屋),2026-10-10 11:15 - 12:00,⭐ 觀光景點,"Fischunkelalm, 83471 Schönau am Königssee, Germany",47.5125,12.9888,Obersee 對岸世外桃源牧場。背倚千仞巨石絕壁，草甸散養阿爾卑斯乳牛（牛鈴聲清脆）。百年木屋必喝新鮮冰牛奶 (€1.5-€2，濃醇回甘，只收現金) 與牛油黑麥麵包。,"https://www.google.com/maps/place/Fischunkelalm/@47.5125,12.9888,17z"
【德國最高瀑布】羅特巴赫瀑布 (Röthbachfall),2026-10-10 12:00 - 12:30,⭐ 觀光景點,"Röthbachfall, 83471 Schönau am Königssee, Germany",47.5019,13.0122,德國境內落差最大（470 公尺！）的垂直巨瀑。冰川水自阿爾卑斯峭壁頂端分兩段傾瀉而下，谷底仰望垂直岩壁極具壓迫感與壯麗美。,"https://www.google.com/maps/place/R%C3%B6thbachfall/@47.5019,13.0122,17z"
【回程名物午餐】聖巴多羅買教堂 & 煙燻鱒魚 (St. Bartholomä & Fischer),2026-10-10 14:00 - 15:30,⭐ 觀光景點,"St. Bartholomä 1, 83471 Schönau am Königssee, Germany",47.5447,12.9725,國王湖湖心半島之標誌性紅蔥頭教堂。回程在此下船，參觀建於 12 世紀之古老修道院教堂，並在旁邊的「Fischer vom Königssee」品嚐國王湖產橡木桶現燻紅點鱒魚 (Steckerlfisch) 配黑麵包。,"https://www.google.com/maps/place/St.+Bartholom%C3%A4/@47.5447,12.9725,17z"
【阿姆巴赫峽谷停車場】Parkplatz Almbachklamm (Kugelmühle),2026-10-11 09:30 - 12:00,🅿️ 景點停車場,"Kugelmühlweg 18, 83487 Marktschellenberg, Germany",47.6698,13.0336,【10/11 上午停泊】東側著名大峽谷阿姆巴赫峽谷 (Almbachklamm) 入口停車場（免費停放）。起點為德國現存最古老的水力「大理石彈珠磨坊 (Kugelmühle)」。步行進入木棧道與吊橋欣賞激流飛瀑，往返約 1.5-2 小時。入口旁 Gasthof Kugelmühle 週日有開，可在此吃午餐喝咖啡。,"https://www.google.com/maps/place/Parkplatz+Almbachklamm/@47.6698,13.0336,17z"
【全景公路北收費站】Roßfeldpanoramastraße Mautstelle Nord,2026-10-11 13:30,🚗 租車與公路,"Roßfeldstraße 150, 83471 Berchtesgaden, Germany",47.6565,13.0768,"【10/11 下午上山】德國最高景觀公路「北收費站」（從阿姆巴赫峽谷開車過來僅 10 分鐘！）。小客車通行費約 €9.00（全車包價，含所有觀景停車場）。付費後沿著壯麗阿爾卑斯盤山公路爬升至 1,570 公尺頂峰。","https://www.google.com/maps/place/Mautstelle+Nord+Ro%C3%9Ffeldpanoramastra%C3%9Fe/@47.6565,13.0768,17z"
【全景公路頂峰稜線】Aussichtspunkt Roßfeld (Scheitelstrecke),2026-10-11 14:00 - 15:30,⭐ 觀光景點,"Roßfeldpanoramastraße, 83471 Berchtesgaden, Germany",47.6253,13.0898,"【德國最高公路景觀台】海拔 1,570m 稜線大停車場。沿德奧邊界稜線木棧道散步，一腳踏在德國、一腳踏在奧地利！360 度俯瞰奧地利薩爾斯堡平原、薩爾察赫河谷與遠方達赫斯坦雪峰。午後陽光順光，拍照壯觀無比。下坡動能回充 10-15% 電量。","https://www.google.com/maps/place/Aussichtspunkt+Ro%C3%9Ffeld/@47.6253,13.0898,17z"
【中繼咖啡/休息站】Dinzler Kaffeerösterei am Irschenberg,2026-10-12 12:00 - 13:00,☕ 景觀咖啡館,"Wendling 15, 83737 Irschenberg, Germany",47.8174,11.8906,【10/12 中繼休息站】A8 高速公路旁極富盛名的精品咖啡烘焙館與景觀餐廳。設有大型停車場與 Tesla 超充站（Tesla Supercharger Irschenberg）。可在此停靠 30-45 分鐘享用現磨莊園咖啡、精緻甜點或輕食午餐。,"https://www.google.com/maps/place/Dinzler+Kaffeer%C3%B6sterei/@47.8174,11.8906,17z"
【慕尼黑心臟】瑪利亞廣場 (Marienplatz),2026-10-12 17:00 - 20:30,⭐ 觀光景點,"Marienplatz 1, 80331 München, Germany",48.1374,11.5755,【10/12 傍晚散步】慕尼黑老城核心心臟。從 Premier Inn 飯店旁搭 S-Bahn 直達僅 8 分鐘！欣賞哥德式新市政廳木偶鐘 (Glockenspiel)、散步至聖母教堂 (Frauenkirche)、穀物市場 (Viktualienmarkt)，採購德國伴手禮與享用輕鬆晚餐。,"https://www.google.com/maps/place/Marienplatz/@48.1374,11.5755,17z"
【返程搭機】慕尼黑機場 (Flughafen München),2026-10-13 上午,✈️ 機場返程,"Nordallee 25, 85356 München, Germany",48.3537,11.775,【10/13 返台班機】德奧捷自駕 13 日圓滿終點。從飯店門口 Laim / Hirschgarten 站搭乘 S-Bahn（S1 或 S8 一車直達機場約 40 分鐘），辦理國泰航空 CX 登機、行李托運與海關退稅。,"https://www.google.com/maps/place/Munich+Airport/@48.3537,11.7750,17z"
【取車/還車】Nextmove 慕尼黑站點,2026-10-06 09:00 取車 / 10-12 16:00 還車,🚗 租車與公路,"Landsberger Str. 318D, 80687 München, Germany",48.1408,11.5072,Tesla Model 3 RWD 取還車地點（合約 VNN-26-106734-2，車牌 W-AK 7176E）。含充電一口價 €39（免滿電還車）。,"https://www.google.com/maps/place/nextmove+M%C3%BCnchen/@48.1408,11.5072,17z"
【第 5 晚住宿】Hotel Tessin (特辛酒店),2026-10-05 Check-in,🏨 住宿飯店,"Landsberger Str. 436, 81241 München, Germany",48.1436,11.4883,慕尼黑 Laim 區，搭 FlixBus 抵達慕尼黑後的過夜飯店，鄰近 Nextmove 取車點，9/3 已扣款/預授權完成。,"https://www.google.com/maps/place/Hotel+Tessin/@48.1436,11.4883,17z"
【第 6 晚住宿】中央城旅館 (Central City Hotel Füssen),2026-10-06 Check-in,🏨 住宿飯店,"Bahnhofstraße 12, 87629 Füssen, Germany",47.5701,10.7011,富森市中心，近火車站與老街，附設電動車充電設施，新天鵝堡行程結束後下榻。,"https://www.google.com/maps/place/Central+City+Hotel/@47.5701,10.7011,17z"
【第 7 晚住宿】H+ Hotel Salzburg,2026-10-07 Check-in (15:00),🏨 住宿飯店,"Südtiroler Pl. 13, 5020 Salzburg, Austria",47.8136,13.0453,薩爾斯堡火車站旁，交通極為便利，已付清。地下直通 Tiefgarage Hauptbahnhof 停車場，可先停妥行李後漫步過河至老城要塞。,"https://www.google.com/maps/place/H%2B+Hotel+Salzburg/@47.8136,13.0453,17z"
【第 8 晚住宿】Dormio Resort Obertraun,2026-10-08 Check-in,🏨 住宿飯店,"Obertraun 300, 4831 Obertraun, Austria",47.5531,13.6896,上特勞恩湖畔渡假村，具備完善充電設施，已付清。近達赫斯坦纜車站。,"https://www.google.com/maps/place/Dormio+Resort+Obertraun/@47.5531,13.6896,17z"
【第 9-11 晚基地】Explorer Hotel Berchtesgaden,2026-10-09 至 10-12 連住 3 晚,🏨 住宿飯店,"Hofreitstr. 7, 83471 Schönau am Königssee, Germany",47.6046,12.9868,【第 9-11 晚大本營】位於舍瑙阿姆克尼格塞 (Schönau am Königssee)，離國王湖大停車場與碼頭僅 2.5 公里（開車 3-4 分鐘直達，完全無需進入貝希特斯加登市區！）。附設電動車充電樁與阿爾卑斯三溫暖桑拿放鬆設施。,"https://www.google.com/maps/place/Explorer+Hotel+Berchtesgaden/@47.6046,12.9868,17z"
【第 12 晚住宿】Premier Inn München City West,2026-10-12 Check-in,🏨 住宿飯店,"Landsberger Str. 312, 80687 München, Germany",48.1409,11.5085,慕尼黑 Laim 區，緊鄰 Nextmove 還車站點，已付清。10/12 還車後步行直接入住，隔天直奔機場。,"https://www.google.com/maps/place/Premier+Inn+Munich+City+West+hotel/@48.1409,11.5085,17z"
